"Plugin","Authors","Installs"
"Frost Hp & Run","Eric V","714"
"Fake Stats","InfernalPlank","695"
"Item Hunter","MakingStan","695"
"Debug Helper","Abex","686"
"Tick dance aim trainer","929482","679"
"Analogue Timestamps","Hannah_GBS","676"
"Ignore List Ban Tracker","Rugg0064","675"
"Dr. Jekyll Herb Reminder","Amrik Singh","650"
"NPC Collection Log","Nic Dipples","648"
"Infernal Clan","Rick","646"
"Total Selling price","Erishion Games LLC","642"
"Death Counter","TendyPlay","638"
"Jingle Jingle","Tayaramisu","630"
"Daily Impling Jars","Samuel-Fox","625"
"Mouseover Text Disabler","Jbleezy","625"
"Snake","Maurits","623"
"Emotes","equirs","620"
"Marty's Walk Up Plugin","Martyrshot","620"
"APM","adam-bunce","616"
"Party Heartbeat","elkcarc, Scowled","616"
"Self Healing Notifications","OzokuLight","616"
"Chat Success Rates","Skretzo","596"
"Unidentified Herbs","Hexagon","595"
"Area Mute","raiyni","586"
"Amazeing Chest","skeldoor","585"
"Clan Spam Filter","Biceps Btw","584"
"Ferox Restore Alert","eddiewastaken","578"
"RuneProfile","PGN","578"
"meepspeak","AlwayzJarvin","572"
"Day & Night Brightness","larswolters98","570"
"Combat Roll","Skretzo","548"
"RS3 Music","Frunkh","544"
"Data Export","ConradicalMel","537"
"Armour Trimmer","Truth Forger","536"
"F2P Highlight","Mark7625","534"
"Global Consciousness","Unholypanda","527"
"Energy Info","Unholypanda","517"
"Preemptive Strike","MarbleTurtle","517"
"Polywoof","furfy","510"
"Music Mask","lequietriot","510"
"Highlight Stackable Items","Horseforlunch","505"
"Trouver Parchment Alert","zlight97","501"
"Monkey Business","krazune","496"
"Snow Tracker","bitwise","495"
"Old Control Run","Lord Of Otakus","494"
"Chaos Altar Bone Luck","christian97lewis","493"
"Foodie","touchrock","491"
"Moleman Mode","Zom","491"
"ItemReminders","cmagee","490"
"NPC Dialogue","leejt","487"
"Inventory Cost Tracker","jbentleyh","486"
"RHUD","Beardedrasta","475"
"MaxHitAlert","Doppiro","473"
"AColdOne Clogging","OmbudRov","459"
"Fire Timer","alevine","453"
"Classes of Gielinor","Kraelll","450"
"ban-list","fangthe1st","449"
"Copy clan usernames","SoloWanna","448"
"Calculator Pro","kanderson66","446"
"Regex Bank Search","moody","435"
"Local Time","M 3 R T H A","434"
"BAS Queue Helper","BA Services","430"
"Custom Settings Easter Eggs","Cyborger1","424"
"Discord Chat Logger","PJGJ210","421"
"Clan KDR","di-brian","415"
"forsen lines","Unmoon","414"
"Global chat","https://github.com/russeii","410"
"Cosmetics Network","JohnathonNow","400"
"Runelogger","Joopjr","400"
"Thrall Damage Counter","Amro Thabet","397"
"Date Overlay","Pikkufighter","393"
"Easy Arceuus Runecrafting","poi56iop","387"
"Auto Retaliate Warning","Uim bladee","379"
"Duke Barrel Swap","ryanbarker0","377"
"Hold Your Ground","Skeldoor","377"
"Temple Treck Bog Helper","Sololegends","376"
"Friend Finder","Sololegends","373"
"Native Mac Notifications","Bailey Townsend","364"
"Mad Dwarf","Jlao17","362"
"Bank Slot/multisearch","geheur","356"
"Shade Chests Highlighter","Eemkukko","356"
"Gnome Childify","Himon","352"
"Bitwarden Plugin","raiyni","349"
"Weight calculator","andmcadams","347"
"Hue Ambiance","Jallah123","346"
"Handegg Discord Webhook","Jurre Groenendijk","345"
"Regex Item Counter","flowerworks","333"
"Alone Man Mode","OnDEK","329"
"ProximityScape-Discord","warnerBlue","328"
"Name Change Detector","Bailey Townsend","327"
"JebScape","Jebrim","321"
"Attack Sound Notifications Plugin","DominickCobb","315"
"Personal Currency Tracker","CWorldEnder","310"
"Meme Effects","Erishion Games LLC","308"
"Clan Tracker","Hai Ke","305"
"Hidden Drop Party","krazune","304"
"Username Screenshotter","Aqua UIM","304"
"Shop Calculator","JammaBro","303"
"EventsAPI","Morgan Van V.","302"
"Hitsplat Tracker","leejt","298"
"Player Pronouns","Speshkitty","298"
"Bingo Event Automated","Uw1","288"
"Clan List Exporter","di-brian","284"
"Untrimmed Warning","pelletier2017","281"
"Transcriber","Skretzo","279"
"Attack Sound","alkkusu","276"
"Sacred Oil","KhaiQ","276"
"Clock Blocker","Ditiae","267"
"Challenge Mode Indicator","robrichardson13","263"
"Spacebar Checker","jcbelanger","261"
"Histogram","JarateKing","260"
"Damage Taken Logger","LittleBitwise","257"
"Method Tournament","Method","256"
"DropTracker","joelhalen","255"
"Reword Manager","ejaz-karim","252"
"Morg Http Client","MorgApps","249"
"Touch Bar","PatrickKocken","242"
"Named Pets","pappymint","240"
"ScapeGPT","Rohan Bansal","233"
"Casket Sounds","Jarrod Cabalzar","230"
"Broadcasts","Zoinkwiz","224"
"Ring of Forging Helper","asundr","209"
"Large Models","Adam","208"
"Polybar Integration","SirArchLinux","208"
"lamp-lockout","Seditionist","206"
"Cape Counter","di-brian","191"
"Fun Reminders","Eric V","191"
"Clear Unsent Messages","lightningboltemoji","181"
"Break Reminder","LeeOKeefe","173"
"Mute All","CreativeTechGuy","167"
"Snakeman Mode","Skretzo","167"
"Discord Recruitment Notifier","zmike808","166"
"OSRSLog","kfricilone","165"
"Cbow Animation Stall","grantg","164"
"Chat-channel Watcher","ryanjpw","160"
"Fuzzy Bank Search","i","160"
"WIZ Smart Lights","adnapPanda, Maurits825","160"
"1Password Plugin","tymscar","159"
"httpeventserver","MW90-NL","158"
"IRC Plugin","Ryan O'Hara","152"
"Then We Fight","Himon","150"
"Rune Cost Calculator","Quantum Primus","142"
"Air Tiaras Runecraft","devenini","140"
"XP Relic Sound","DaBolink","139"
"Canvas","Cantrick","133"
"Chat Filter Updater","Lntranet","132"
"DMM Fake Protection","zlight97","131"
"Ably Region Chat","Zoinkwiz","124"
"Ranged Guild Minigame Plugin","UIM Herb10HP","121"
"Pleae","toasty-toast","116"
"Combat Locked","Christian Legge","113"
"XP Meter","Toofifty","111"
"Blue's Prox Chat","ThatGamerBlue","103"
"Rseye-connector","BasketBandit","95"
"HTTP API","Adam","90"
"TrackScape Connector","Bailey Townsend","90"
"Nekos","Ondra_D","89"
"RuneCafe Cash Flow","The rune.cafe Developers","84"
"CC Clog Spam Hider","Ew Its Mike","82"
"LogLocked","MrNice98","81"
"Focus Mute","cdfisher","79"
"Aerial Fishing Timers","call-me-maple","78"
"Market Watcher","btabrizi","77"
"Old School Snitch","WKRP","77"
"NET cc commands","altar of net","76"
"GloopyLite","andmcadams","71"
"InfluxDB","Equinox","70"
"Calcusource updater","hessrs","68"
"ZMI","Rubueno","61"
"CAChunk","digiholic","57"
"Dialogue Extractor","AshleyThew","57"
"Impolite Slayer","Daxe","57"
"Chrono","Idyl, Slayermusiq1","54"
"ReVerb","Wool Scarf","50"
"StatTrack","MatteoVH","49"
"No New Items","timwestwood","47"
"Pre-GE","plankstdurtydan","47"
"OSRS Profile","H1llman","45"
"platz","i","44"
"Poll Screenshot","Himon","42"
"PK Loot Splitter","Patrick","39"
"Compost Helper","Pidge","37"
"Click Minimap Orbs","Macweese","34"
"Infinite Money Bag Tracker","Rugg0064","29"
"Spec Overlay","OmbudRov","24"
"TheleRune Updater","Theleruby","16"
"Vardorvis Heal Tracker","AnuVen","16"
"NPC Labels","Banna","14"
"Loot Broadcast Party","Zuko07","11"
"Save Evil Creatures","Jim and Jinxer","10"
"Camdozaal Fishing Helper","Aeimo","8"
"Funny boss names","Pfannaa","8"
"ntfyer","Skeldoor","5"
